[1} clk=1 rst=1 a=0 and sel=0 -> b=0
[2} clk=0 rst=1 a=1000 and sel=100 -> b=0
[3} clk=1 rst=1 a=1000 and sel=100 -> b=0
[4} clk=0 rst=1 a=1000 and sel=101 -> b=0
[5} clk=1 rst=1 a=1000 and sel=101 -> b=0
[6} clk=0 rst=1 a=1000 and sel=110 -> b=0
[7} clk=1 rst=1 a=1000 and sel=110 -> b=0
[8} clk=0 rst=1 a=1000 and sel=111 -> b=0
[9} clk=1 rst=1 a=1000 and sel=111 -> b=0
[10} clk=0 rst=0 a=1001 and sel=100 -> b=0
[11} clk=1 rst=0 a=1001 and sel=100 -> b=1
[12} clk=0 rst=0 a=1001 and sel=101 -> b=1
[13} clk=1 rst=0 a=1001 and sel=101 -> b=0
[14} clk=0 rst=0 a=1001 and sel=110 -> b=0
[15} clk=1 rst=0 a=1001 and sel=110 -> b=0
[16} clk=0 rst=0 a=1001 and sel=111 -> b=0
[17} clk=1 rst=0 a=1001 and sel=111 -> b=1
[18} clk=0 rst=0 a=1010 and sel=100 -> b=1
[19} clk=1 rst=0 a=1010 and sel=100 -> b=1
[20} clk=0 rst=0 a=1010 and sel=101 -> b=1
[21} clk=1 rst=0 a=1010 and sel=101 -> b=1
[22} clk=0 rst=0 a=1010 and sel=110 -> b=1
[23} clk=1 rst=0 a=1010 and sel=110 -> b=0
[24} clk=0 rst=0 a=1010 and sel=111 -> b=0
[25} clk=1 rst=0 a=1010 and sel=111 -> b=1
[26} clk=0 rst=0 a=1011 and sel=100 -> b=1
[27} clk=1 rst=0 a=1011 and sel=100 -> b=1
[28} clk=0 rst=0 a=1011 and sel=101 -> b=1
[29} clk=1 rst=0 a=1011 and sel=101 -> b=1
[30} clk=0 rst=0 a=1011 and sel=110 -> b=1
[31} clk=1 rst=0 a=1011 and sel=110 -> b=0
[32} clk=0 rst=0 a=1011 and sel=111 -> b=0
[33} clk=1 rst=0 a=1011 and sel=111 -> b=1
[34} clk=0 rst=0 a=1100 and sel=100 -> b=1
[35} clk=1 rst=0 a=1100 and sel=100 -> b=1
[36} clk=0 rst=0 a=1100 and sel=101 -> b=1
[37} clk=1 rst=0 a=1100 and sel=101 -> b=0
[38} clk=0 rst=0 a=1100 and sel=110 -> b=0
[39} clk=1 rst=0 a=1100 and sel=110 -> b=1
[40} clk=0 rst=0 a=1100 and sel=111 -> b=1
[41} clk=1 rst=0 a=1100 and sel=111 -> b=1
[42} clk=0 rst=0 a=1101 and sel=100 -> b=1
[43} clk=1 rst=0 a=1101 and sel=100 -> b=1
[44} clk=0 rst=0 a=1101 and sel=101 -> b=1
[45} clk=1 rst=0 a=1101 and sel=101 -> b=0
[46} clk=0 rst=0 a=1101 and sel=110 -> b=0
[47} clk=1 rst=0 a=1101 and sel=110 -> b=1
[48} clk=0 rst=0 a=1101 and sel=111 -> b=1
[49} clk=1 rst=0 a=1101 and sel=111 -> b=1
[50} clk=0 rst=0 a=1110 and sel=100 -> b=1
